# Simulation 39 (Up to date)
# 378 data points written for 54 variables.
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
5.775,853.309,12.361,-10.273,12.51,10.273,54.41,0.023,54.41,0.024,1.922,0.098,28.61,-80.6,9.791,0.706,2.876e-5,-15.137,-0.002,431.637,37.3,0.014,2.015e-4,20.621,15.272,2.058,0.039,6.275e5,0,0.209,0.597,0.598,0.314,0.163,0.12,0.089,0.216,3.158e-4,0,0,0,0,-0.033,0.002,2.6,34.253,70.201,0.023,2.357,13.309,982.746,339.364,0.05,0.194
5.825,855.295,11.849,-10.23,12.003,10.231,54.725,0.023,54.725,0.024,1.916,0.115,28.61,-80.6,9.791,0.503,2.03e-5,-14.389,-0.01,431.637,37.3,0.014,2.015e-4,20.659,15.272,2.072,0.037,6.05e5,0,0.195,0.597,0.597,0.314,0.163,0.12,0.063,0.163,2.787e-4,0,0,0,0,-0.032,0.002,2.6,34.253,69.464,0.023,2.405,13.305,982.675,339.362,0.05,0.194
5.875,857.197,11.338,-10.194,11.498,10.195,55.039,0.024,55.039,0.024,1.91,0.115,28.61,-80.6,9.791,0.459,2.172e-5,-13.696,-0.013,431.637,37.3,0.014,2.015e-4,20.668,15.272,2.075,0.036,5.817e5,0,0.18,0.597,0.597,0.314,0.163,0.12,0.057,0.15,-2.69e-4,0,0,0,0,-0.032,0.001,2.6,34.253,68.764,0.023,2.392,13.302,982.607,339.36,0.05,0.195
5.925,859.015,10.829,-10.163,10.996,10.164,55.351,0.024,55.351,0.025,1.905,0.105,28.61,-80.6,9.791,0.531,3.851e-5,-13.105,-0.012,431.637,37.3,0.014,2.015e-4,20.654,15.272,2.07,0.034,5.578e5,0,0.165,0.597,0.598,0.314,0.163,0.12,0.066,0.169,4.101e-4,0,0,0,0,-0.032,0.001,2.6,34.253,68.094,0.024,2.334,13.298,982.542,339.358,0.05,0.195
5.975,860.75,10.322,-10.135,10.495,10.135,55.663,0.024,55.663,0.025,1.9,0.09,28.61,-80.6,9.791,0.672,2.217e-5,-12.398,-0.004,431.637,37.3,0.014,2.015e-4,20.627,15.272,2.06,0.033,5.334e5,0,0.151,0.597,0.598,0.315,0.163,0.12,0.084,0.205,-1.533e-4,0,0,0,0,-0.031,0.001,2.6,34.253,67.457,0.024,2.243,13.295,982.48,339.355,0.05,0.195
6.025,862.402,9.816,-10.099,9.997,10.099,55.975,0.024,55.975,0.025,1.895,0.099,28.61,-80.6,9.791,0.466,1.878e-5,-11.671,-0.003,431.637,37.3,0.014,2.015e-4,20.666,15.272,2.075,0.031,5.102e5,0,0.139,0.598,0.598,0.315,0.163,0.12,0.058,0.151,-1.291e-4,0,0,0,0,-0.03,0.001,2.6,34.253,66.856,0.024,2.206,13.291,982.421,339.353,0.05,0.196
6.075,863.97,9.312,-10.058,9.502,10.059,56.285,0.025,56.285,0.025,1.89,0.126,28.61,-80.6,9.791,0.11,3.617e-5,11.469,-0.021,431.637,37.3,0.014,2.015e-4,20.734,15.272,2.101,0.03,4.882e5,0,0.127,0.598,0.598,0.315,0.163,0.12,0.014,-0.003,3.728e-4,0,0,0,0,0.032,0.001,2.6,34.253,66.278,0.024,2.224,13.288,982.365,339.352,0.05,0.196
6.125,865.457,8.81,-10.028,9.009,10.029,56.595,0.025,56.595,0.025,1.883,0.124,28.61,-80.6,9.791,0.274,2.229e-5,11.686,0.003,431.637,37.3,0.014,2.015e-4,20.702,15.272,2.089,0.029,4.646e5,0,0.115,0.598,0.598,0.315,0.163,0.12,0.034,0.035,1.305e-5,0,0,0,0,0.036,0.001,2.6,34.253,65.701,0.024,2.146,13.285,982.312,339.35,0.05,0.196
6.175,866.861,8.309,-10.004,8.519,10.005,56.903,0.025,56.903,0.025,1.877,0.111,28.61,-80.6,9.791,0.204,3.042e-5,11.615,0.029,431.637,37.3,0.014,2.015e-4,20.716,15.272,2.094,0.027,4.399e5,0,0.103,0.599,0.599,0.316,0.163,0.12,0.025,0.013,-1.794e-4,0,0,0,0,0.04,0.001,2.6,34.253,65.119,0.023,2.012,13.283,982.262,339.348,0.05,0.197
6.225,868.183,7.81,-9.976,8.031,9.977,57.211,0.025,57.211,0.025,1.872,0.111,28.61,-80.6,9.791,0.45,2.444e-5,11.72,0.023,431.637,37.3,0.014,2.015e-4,20.669,15.272,2.076,0.026,4.164e5,0,0.092,0.599,0.599,0.316,0.163,0.12,0.056,0.071,-1.276e-4,0,0,0,0,0.045,0.001,2.6,34.253,64.536,0.023,1.923,13.28,982.214,339.347,0.05,0.197
6.275,869.423,7.312,-9.945,7.546,9.946,57.517,0.026,57.517,0.026,1.866,0.125,28.61,-80.6,9.791,1.09,2.971e-5,11.95,0.013,431.637,37.3,0.014,2.015e-4,20.55,15.272,2.03,0.024,3.94e5,0,0.083,0.599,0.601,0.317,0.163,0.12,0.139,0.229,4.948e-4,0,0,0,0,0.053,9.748e-4,2.6,34.253,63.944,0.023,1.883,13.277,982.17,339.345,0.05,0.197
6.325,870.582,6.815,-9.903,7.064,9.904,57.823,0.026,57.823,0.026,1.859,0.175,28.61,-80.6,9.791,2.713,2.339e-5,12.615,0.004,431.637,37.3,0.014,2.015e-4,20.272,15.272,1.923,0.023,3.75e5,0,0.077,0.6,0.612,0.317,0.163,0.12,0.364,0.636,-3.22e-4,0,0,0,0,0.065,9.136e-4,2.6,34.253,63.331,0.023,1.978,13.275,982.128,339.344,0.05,0.198
6.375,871.659,6.321,-9.863,6.586,9.865,58.127,0.026,58.127,0.026,1.849,0.222,28.61,-80.6,9.791,4.424,2.768e-5,14.193,0.003,431.637,37.3,0.014,2.015e-4,20.009,15.272,1.822,0.022,3.565e5,0,0.071,0.6,0.63,0.317,0.163,0.12,0.626,1.049,-3.538e-4,0,0,0,0,0.091,8.53e-4,2.6,34.253,62.664,0.023,2.066,13.273,982.09,339.342,0.05,0.198
6.425,872.656,5.829,-9.831,6.112,9.834,58.429,0.027,58.429,0.026,1.837,0.251,28.61,-80.6,9.791,5.859,2.286e-5,15.892,0.001,431.637,37.3,0.014,2.015e-4,19.81,15.272,1.745,0.021,3.369e5,0,0.066,0.6,0.65,0.318,0.163,0.12,0.864,1.38,-2.274e-4,0,0,0,0,0.127,7.928e-4,2.6,34.253,61.913,0.023,2.087,13.271,982.054,339.341,0.05,0.198
6.475,873.572,5.338,-9.792,5.641,9.796,58.73,0.027,58.73,0.026,1.823,0.297,28.61,-80.6,9.791,7.896,3.037e-5,18.009,6.275e-4,431.637,37.3,0.014,2.015e-4,19.556,15.272,1.648,0.02,3.198e5,0,0.062,0.601,0.681,0.318,0.163,0.12,1.231,1.847,2.84e-4,0,0,0,0,0.182,7.333e-4,2.6,34.253,61.067,0.023,2.175,13.269,982.022,339.34,0.05,0.198
6.525,874.408,4.85,-9.747,5.176,9.754,59.027,0.027,59.027,0.026,1.807,0.354,28.61,-80.6,9.791,10.358,3.086e-5,20.563,-5.64e-4,431.637,37.3,0.014,2.015e-4,19.289,15.272,1.545,0.019,3.047e5,0,0.059,0.601,0.72,0.318,0.163,0.12,1.719,2.395,4.423e-4,0,0,0,0,0.261,6.745e-4,2.6,34.253,60.103,0.023,2.299,13.268,981.992,339.339,0.05,0.199
6.575,875.163,4.364,-9.703,4.716,9.711,59.322,0.027,59.322,0.026,1.788,0.401,28.61,-80.6,9.791,12.791,2.828e-5,23.498,-9.379e-4,431.637,37.3,0.014,2.015e-4,19.06,15.272,1.457,0.018,2.898e5,0,0.056,0.601,0.754,0.319,0.163,0.12,2.247,2.898,1.485e-4,0,0,0,0,0.376,6.165e-4,2.6,34.253,59.003,0.023,2.395,13.266,981.965,339.338,0.05,0.199
6.625,875.839,3.879,-9.675,4.263,9.683,59.614,0.028,59.614,0.027,1.767,0.406,28.61,-80.6,9.791,14.571,2.676e-5,26.554,-7.917e-4,431.637,37.3,0.014,2.015e-4,18.912,15.272,1.4,0.017,2.718e5,0,0.051,0.602,0.772,0.319,0.163,0.12,2.662,3.181,1.57e-4,0,0,0,0,0.546,5.595e-4,2.6,34.253,57.752,0.023,2.367,13.265,981.941,339.337,0.05,0.199
6.675,876.436,3.396,-9.642,3.819,9.651,59.902,0.028,59.902,0.027,1.747,0.414,28.61,-80.6,9.791,16.686,2.756e-5,29.267,-6.936e-4,431.637,37.3,0.014,2.015e-4,18.754,15.272,1.339,0.016,2.55e5,0,0.045,0.602,0.783,0.32,0.163,0.12,3.185,3.511,3.442e-4,0,0,0,0,0.753,5.039e-4,2.6,34.253,56.356,0.023,2.347,13.264,981.919,339.337,0.05,0.199
6.725,876.954,2.916,-9.584,3.388,9.595,60.187,0.028,60.187,0.027,1.726,0.46,28.61,-80.6,9.791,19.884,3.208e-5,32.195,-9.892e-4,431.637,37.3,0.014,2.015e-4,18.546,15.272,1.26,0.015,2.441e5,0,0.041,0.603,0.776,0.32,0.163,0.12,4.033,4.084,-2.79e-4,0,0,0,0,0.995,4.501e-4,2.6,34.253,54.819,0.023,2.448,13.263,981.901,339.336,0.05,0.2
6.775,877.393,2.437,-9.541,2.973,9.553,60.468,0.028,60.468,0.027,1.702,0.476,28.61,-80.6,9.791,23.199,2.829e-5,34.879,-0.002,431.637,37.3,0.014,2.015e-4,18.367,15.272,1.19,0.014,2.341e5,0,0.037,0.603,0.754,0.32,0.163,0.12,4.699,3.381,1.323e-4,0,0,0,0,1.27,3.987e-4,2.6,34.253,53.139,0.024,2.53,13.262,981.885,339.335,0.05,0.2
6.825,877.754,1.961,-9.494,2.581,9.507,60.746,0.029,60.746,0.027,1.678,0.492,28.61,-80.6,9.791,26.668,2.244e-5,36.825,-0.002,431.637,37.3,0.014,2.015e-4,18.21,15.272,1.13,0.014,2.252e5,0,0.032,0.603,0.716,0.321,0.163,0.12,5.451,2.631,-1.669e-4,0,0,0,0,1.53,3.506e-4,2.6,34.253,51.344,0.024,2.59,13.261,981.872,339.335,0.05,0.2
6.875,878.036,1.488,-9.452,2.224,9.465,61.019,0.029,61.019,0.027,1.653,0.495,28.61,-80.6,9.791,30.097,3.078e-5,38.207,-0.001,431.637,37.3,0.014,2.015e-4,18.081,15.272,1.081,0.013,2.151e5,0,0.027,0.604,0.667,0.321,0.163,0.12,6.25,1.88,3.843e-4,0,0,0,0,1.805,3.072e-4,2.6,34.253,49.466,0.024,2.58,13.26,981.862,339.335,0.05,0.2
6.925,878.242,1.016,-9.433,1.92,9.444,61.288,0.029,61.288,0.027,1.629,0.467,28.61,-80.6,9.791,33.472,2.856e-5,39.003,-3.306e-4,431.637,37.3,0.014,2.015e-4,17.977,15.272,1.041,0.012,2.005e5,0,0.022,0.604,0.612,0.322,0.163,0.12,7.082,1.06,-4.421e-4,0,0,0,0,2.166,2.708e-4,2.6,34.253,47.534,0.024,2.428,13.26,981.855,339.334,0.05,0.201
6.975,878.37,0.545,-9.385,1.696,9.397,61.553,0.03,61.553,0.027,1.606,0.473,28.61,-80.6,9.791,37.761,3.127e-5,39.282,3e-4,431.637,37.3,0.014,2.015e-4,17.872,15.272,1,0.012,1.921e5,0,0.018,0.605,0.534,0.322,0.163,0.12,8.186,0.268,1.951e-4,0,0,0,0,2.393,2.444e-4,2.6,34.253,45.575,0.024,2.363,13.26,981.85,339.334,0.05,0.201
7.025,878.421,0.078,-9.304,1.583,9.318,61.815,0.03,61.815,0.028,1.581,0.51,28.61,-80.6,9.791,42.483,2.856e-5,39.277,-7.876e-5,431.637,37.3,0.014,2.015e-4,17.786,15.272,0.967,0.012,1.902e5,0,0.014,0.605,0.444,0.322,0.163,0.12,9.438,-0.372,2.063e-4,0,0,0,0,2.439,2.308e-4,2.6,34.253,43.61,0.024,2.387,13.26,981.848,339.334,0.05,0.201
# Event APOGEE occurred at t=7.075 seconds
7.075,878.396,-0.388,-9.612,1.605,9.614,62.072,0.03,62.072,0.028,1.558,0.194,28.61,-80.6,9.791,47.298,2.421e-5,38.978,9.81e-5,431.637,37.3,0.014,2.015e-4,20.857,15.272,2.148,0.012,1.877e5,0,0.011,0.605,0.353,0.322,0.163,0.12,3.627,-0.413,1.566e-4,0,0,0,0,2.466,2.321e-4,2.6,34.253,41.652,0.024,2.342,13.26,981.849,339.334,0.05,0.201
7.125,878.293,-0.869,-9.594,1.775,9.596,62.327,0.03,62.327,0.028,1.548,0.188,28.61,-80.6,9.791,52.627,3.234e-5,38.736,9.896e-4,431.637,37.3,0.014,2.015e-4,20.954,15.272,2.185,0.011,1.862e5,0,0.008,0.605,0.26,0.322,0.163,0.12,3.807,-0.907,1.266e-4,0,0,0,0,2.475,2.517e-4,2.6,34.253,39.708,0.024,2.238,13.26,981.853,339.334,0.05,0.202
7.175,878.111,-1.348,-9.569,2.046,9.571,62.58,0.031,62.58,0.028,1.539,0.189,28.61,-80.6,9.791,57.817,2.578e-5,38.256,0.001,431.637,37.3,0.014,2.015e-4,21.048,15.272,2.222,0.012,1.886e5,0,0.006,0.605,0.18,0.322,0.163,0.12,3.985,-1.205,-2.089e-4,0,0,0,0,2.354,2.832e-4,2.6,34.253,37.782,0.024,2.157,13.26,981.859,339.335,0.05,0.202
7.225,877.85,-1.825,-9.526,2.381,9.528,62.832,0.031,62.832,0.028,1.529,0.204,28.61,-80.6,9.791,62.18,3.277e-5,37.688,0.001,431.637,37.3,0.014,2.015e-4,21.105,15.272,2.243,0.012,1.975e5,0,0.004,0.604,0.124,0.322,0.163,0.12,4.167,-1.248,-9.402e-5,0,0,0,0,2.083,3.231e-4,2.6,34.253,35.883,0.024,2.164,13.261,981.869,339.335,0.05,0.203
7.275,877.512,-2.3,-9.468,2.756,9.47,63.082,0.031,63.082,0.028,1.518,0.228,28.61,-80.6,9.791,65.651,2.793e-5,37.064,0.001,431.637,37.3,0.014,2.015e-4,21.125,15.272,2.251,0.013,2.102e5,0,0.003,0.604,0.087,0.321,0.163,0.12,4.349,-1.168,-3.545e-4,0,0,0,0,1.779,3.686e-4,2.6,34.253,34.014,0.024,2.215,13.261,981.881,339.335,0.05,0.203
7.325,877.096,-2.772,-9.401,3.155,9.405,63.33,0.031,63.33,0.028,1.506,0.253,28.61,-80.6,9.791,68.718,2.989e-5,36.419,0.001,431.637,37.3,0.014,2.015e-4,21.136,15.272,2.256,0.014,2.232e5,0,0.003,0.603,0.061,0.321,0.163,0.12,4.528,-1.089,4.814e-4,0,0,0,0,1.524,4.175e-4,2.6,34.253,32.177,0.024,2.234,13.262,981.896,339.336,0.05,0.203
7.375,876.603,-3.24,-9.317,3.567,9.321,63.576,0.032,63.576,0.029,1.493,0.284,28.61,-80.6,9.791,71.019,3.514e-5,35.725,0.001,431.637,37.3,0.014,2.015e-4,21.112,15.272,2.246,0.015,2.385e5,0,0.002,0.603,0.044,0.32,0.163,0.12,4.715,-0.974,-4.553e-4,0,0,0,0,1.284,4.686e-4,2.6,34.253,30.373,0.024,2.281,13.263,981.913,339.336,0.05,0.204
7.425,876.033,-3.703,-9.228,3.987,9.233,63.819,0.032,63.819,0.029,1.478,0.311,28.61,-80.6,9.791,73.28,2.704e-5,35.052,6.338e-4,431.637,37.3,0.014,2.015e-4,21.094,15.272,2.239,0.016,2.525e5,0,0.002,0.602,0.031,0.32,0.163,0.12,4.9,-0.902,-3.384e-4,0,0,0,0,1.103,5.209e-4,2.6,34.253,28.604,0.024,2.267,13.264,981.934,339.337,0.05,0.204
7.475,875.388,-4.163,-9.129,4.412,9.135,64.06,0.032,64.06,0.029,1.462,0.339,28.61,-80.6,9.791,75.374,2.952e-5,34.306,7.741e-4,431.637,37.3,0.014,2.015e-4,21.071,15.272,2.231,0.016,2.665e5,0,0.001,0.602,0.021,0.319,0.163,0.12,5.087,-0.839,-4.94e-4,0,0,0,0,0.949,5.742e-4,2.6,34.253,26.87,0.024,2.221,13.266,981.957,339.338,0.05,0.204
7.525,874.668,-4.616,-9.017,4.836,9.024,64.299,0.033,64.299,0.029,1.444,0.366,28.61,-80.6,9.791,77.213,2.741e-5,33.577,0.001,431.637,37.3,0.014,2.015e-4,21.038,15.272,2.218,0.017,2.807e5,0,0.001,0.602,0.015,0.319,0.163,0.12,5.279,-0.785,-4.417e-4,0,0,0,0,0.819,6.275e-4,2.6,34.253,25.172,0.024,2.157,13.267,981.982,339.339,0.05,0.205
7.575,873.874,-5.064,-8.871,5.261,8.88,64.534,0.033,64.534,0.029,1.425,0.402,28.61,-80.6,9.791,78.138,2.437e-5,32.781,7.008e-4,431.637,37.3,0.014,2.015e-4,20.956,15.272,2.186,0.018,2.978e5,0,9.294e-4,0.601,0.012,0.319,0.163,0.12,5.496,-0.703,-1.866e-4,0,0,0,0,0.693,6.81e-4,2.6,34.253,23.513,0.024,2.171,13.269,982.011,339.34,0.05,0.205
7.625,873.007,-5.502,-8.694,5.679,8.705,64.766,0.033,64.766,0.029,1.404,0.443,28.61,-80.6,9.791,78.337,3.478e-5,32.037,5.373e-4,431.637,37.3,0.014,2.015e-4,20.837,15.272,2.14,0.019,3.166e5,0,1e-3,0.601,0.011,0.318,0.163,0.12,5.732,-0.619,4.285e-4,0,0,0,0,0.586,7.337e-4,2.6,34.253,21.893,0.024,2.246,13.27,982.042,339.341,0.05,0.205
7.675,872.069,-5.933,-8.525,6.092,8.538,64.995,0.033,64.995,0.029,1.381,0.47,28.61,-80.6,9.791,79.33,2.678e-5,31.248,4.876e-4,431.637,37.3,0.014,2.015e-4,20.765,15.272,2.113,0.02,3.318e5,0,8.504e-4,0.6,0.009,0.318,0.163,0.12,5.953,-0.585,-2.48e-4,0,0,0,0,0.508,7.86e-4,2.6,34.253,20.311,0.024,2.181,13.272,982.075,339.342,0.05,0.206
7.725,871.061,-6.355,-8.327,6.498,8.342,65.219,0.034,65.219,0.029,1.357,0.499,28.61,-80.6,9.791,79.815,3.393e-5,30.439,0.001,431.637,37.3,0.014,2.015e-4,20.668,15.272,2.076,0.021,3.482e5,0,8.186e-4,0.6,0.008,0.317,0.163,0.12,6.189,-0.545,4.259e-4,0,0,0,0,0.437,8.374e-4,2.6,34.253,18.769,0.024,2.159,13.274,982.111,339.343,0.05,0.206
7.775,869.985,-6.766,-8.125,6.895,8.141,65.44,0.034,65.44,0.03,1.331,0.519,28.61,-80.6,9.791,80.546,2.81e-5,29.613,0.002,431.637,37.3,0.014,2.015e-4,20.589,15.272,2.045,0.022,3.632e5,0,7.178e-4,0.6,0.006,0.317,0.163,0.12,6.421,-0.523,-4.979e-4,0,0,0,0,0.381,8.878e-4,2.6,34.253,17.267,0.024,2.075,13.276,982.15,339.344,0.05,0.206
7.825,868.842,-7.167,-7.887,7.284,7.905,65.656,0.034,65.656,0.03,1.305,0.54,28.61,-80.6,9.791,80.73,2.323e-5,28.729,0.002,431.637,37.3,0.014,2.015e-4,20.482,15.272,2.004,0.023,3.794e5,0,7.399e-4,0.599,0.006,0.317,0.163,0.12,6.671,-0.495,-2.362e-4,0,0,0,0,0.328,9.373e-4,2.6,34.253,15.808,0.024,2.049,13.279,982.191,339.346,0.05,0.207
7.875,867.634,-7.554,-7.59,7.661,7.611,65.868,0.034,65.868,0.03,1.277,0.567,28.61,-80.6,9.791,79.779,2.222e-5,27.855,0.002,431.637,37.3,0.014,2.015e-4,20.318,15.272,1.941,0.024,3.984e5,0,0.001,0.599,0.008,0.316,0.163,0.12,6.949,-0.446,-3.053e-4,0,0,0,0,0.28,9.85e-4,2.6,34.253,14.394,0.023,2.184,13.281,982.234,339.347,0.05,0.207
7.925,866.365,-7.925,-7.299,8.023,7.322,66.075,0.035,66.075,0.03,1.248,0.579,28.61,-80.6,9.791,79.358,2.473e-5,26.988,0.003,431.637,37.3,0.014,2.015e-4,20.19,15.272,1.892,0.025,4.149e5,0,0.001,0.599,0.009,0.316,0.163,0.12,7.209,-0.417,-2.135e-4,0,0,0,0,0.242,0.001,2.6,34.253,13.023,0.023,2.225,13.284,982.279,339.349,0.05,0.207
7.975,865.035,-8.283,-7.006,8.373,7.03,66.277,0.035,66.277,0.03,1.219,0.579,28.61,-80.6,9.791,79.157,3.804e-5,26.072,0.003,431.637,37.3,0.014,2.015e-4,20.08,15.272,1.849,0.026,4.301e5,0,0.001,0.599,0.009,0.316,0.163,0.12,7.462,-0.4,1.258e-4,0,0,0,0,0.21,0.001,2.6,34.253,11.696,0.023,2.218,13.286,982.327,339.35,0.05,0.208
8.025,863.648,-8.626,-6.689,8.708,6.714,66.475,0.035,66.475,0.03,1.191,0.573,28.61,-80.6,9.791,78.655,1.997e-5,25.154,0.002,431.637,37.3,0.014,2.015e-4,19.96,15.272,1.803,0.027,4.454e5,0,0.002,0.598,0.01,0.316,0.163,0.12,7.715,-0.379,4.526e-4,0,0,0,0,0.183,0.001,2.6,34.253,10.415,0.023,2.253,13.289,982.376,339.352,0.05,0.208
8.075,862.206,-8.952,-6.388,9.028,6.412,66.668,0.035,66.668,0.03,1.162,0.554,28.61,-80.6,9.791,78.591,2.79e-5,24.215,0.002,431.637,37.3,0.014,2.015e-4,19.868,15.272,1.768,0.028,4.586e5,0,0.002,0.598,0.01,0.316,0.163,0.12,7.954,-0.373,1.316e-4,0,0,0,0,0.16,0.001,2.6,34.253,9.181,0.023,2.201,13.292,982.428,339.354,0.05,0.208
8.125,860.711,-9.265,-6.099,9.334,6.121,66.856,0.036,66.856,0.031,1.135,0.522,28.61,-80.6,9.791,78.881,3.138e-5,23.209,0.003,431.637,37.3,0.014,2.015e-4,19.798,15.272,1.741,0.029,4.703e5,0,0.002,0.598,0.01,0.315,0.163,0.12,8.182,-0.378,-2.73e-4,0,0,0,0,0.139,0.001,2.6,34.253,7.995,0.023,2.076,13.295,982.481,339.356,0.05,0.209
8.175,859.167,-9.562,-5.768,9.626,5.789,67.04,0.036,67.04,0.031,1.11,0.488,28.61,-80.6,9.791,78.449,3.607e-5,22.14,0.004,431.637,37.3,0.014,2.015e-4,19.699,15.272,1.703,0.03,4.834e5,0,0.002,0.598,0.011,0.315,0.163,0.12,8.416,-0.366,1.236e-4,0,0,0,0,0.12,0.001,2.6,34.253,6.861,0.023,2.073,13.298,982.537,339.357,0.05,0.209
8.225,857.575,-9.841,-5.429,9.901,5.447,67.221,0.036,67.221,0.031,1.087,0.447,28.61,-80.6,9.791,77.816,1.989e-5,21.108,0.003,431.637,37.3,0.014,2.015e-4,19.596,15.272,1.663,0.03,4.962e5,0,0.003,0.598,0.013,0.315,0.163,0.12,8.641,-0.349,3.839e-4,0,0,0,0,0.104,0.001,2.6,34.253,5.78,0.023,2.104,13.301,982.593,339.359,0.05,0.21
8.275,855.939,-10.105,-5.095,10.161,5.11,67.397,0.036,67.397,0.031,1.066,0.397,28.61,-80.6,9.791,77.259,2.646e-5,20.017,0.004,431.637,37.3,0.014,2.015e-4,19.503,15.272,1.627,0.031,5.082e5,0,0.003,0.598,0.014,0.315,0.163,0.12,8.856,-0.335,-2.158e-4,0,0,0,0,0.089,0.001,2.6,34.253,4.752,0.023,2.119,13.304,982.652,339.361,0.05,0.21
8.325,854.261,-10.351,-4.766,10.404,4.778,67.57,0.037,67.57,0.031,1.047,0.34,28.61,-80.6,9.791,76.673,3.377e-5,18.978,0.003,431.637,37.3,0.014,2.015e-4,19.415,15.272,1.594,0.032,5.195e5,0,0.004,0.598,0.016,0.315,0.163,0.12,9.056,-0.319,-2.802e-4,0,0,0,0,0.076,0.001,2.6,34.253,3.777,0.022,2.138,13.308,982.712,339.363,0.05,0.21
8.375,852.544,-10.582,-4.469,10.632,4.477,67.741,0.037,67.741,0.031,1.032,0.274,28.61,-80.6,9.791,76.539,3.525e-5,17.89,0.004,431.637,37.3,0.014,2.015e-4,19.352,15.272,1.569,0.032,5.289e5,0,0.004,0.597,0.017,0.315,0.163,0.12,9.244,-0.319,4.219e-4,0,0,0,0,0.066,0.001,2.6,34.253,2.856,0.022,2.066,13.311,982.773,339.365,0.05,0.21
8.425,850.79,-10.798,-4.135,10.846,4.14,67.909,0.037,67.909,0.031,1.02,0.207,28.61,-80.6,9.791,75.615,2.13e-5,16.768,0.003,431.637,37.3,0.014,2.015e-4,19.261,15.272,1.534,0.033,5.399e5,0,0.005,0.597,0.02,0.315,0.163,0.12,9.423,-0.292,-3.235e-4,0,0,0,0,0.055,0.001,2.6,34.253,1.989,0.022,2.153,13.314,982.836,339.367,0.05,0.211
8.475,849.002,-10.996,-3.808,11.042,3.81,68.076,0.037,68.076,0.031,1.011,0.137,28.61,-80.6,9.791,74.517,1.179e-5,15.813,0.002,431.637,37.3,0.014,2.015e-4,19.169,15.272,1.499,0.034,5.506e5,0,0.007,0.597,0.025,0.314,0.163,0.12,9.581,-0.257,-1.279e-5,0,0,0,0,0.047,0.001,2.6,34.253,1.175,0.022,2.279,13.318,982.9,339.37,0.05,0.211
8.525,847.184,-11.179,-3.54,11.224,3.541,68.241,0.038,68.241,0.032,1.006,0.06,28.61,-80.6,9.791,74.247,4.58e-5,14.847,0.005,431.637,37.3,0.014,2.015e-4,19.116,15.272,1.478,0.034,5.584e5,0,0.007,0.597,0.026,0.314,0.163,0.12,9.73,-0.252,-1.259e-4,0,0,0,0,0.041,0.001,2.6,34.253,0.409,0.022,2.234,13.322,982.965,339.372,0.05,0.211
8.575,845.336,-11.35,-3.287,11.394,3.287,68.406,0.038,68.406,0.032,1.005,0.019,28.61,-80.6,9.791,74.028,2.368e-5,13.857,0.004,431.637,37.3,0.014,2.015e-4,19.068,15.272,1.46,0.035,5.655e5,0,0.008,0.597,0.027,0.314,0.163,0.12,9.87,-0.248,2.482e-4,0,0,0,0,0.034,0.001,2.6,34.253,-0.309,0.022,2.177,13.325,983.031,339.374,0.05,0.211
8.625,843.461,-11.508,-3.032,11.552,3.033,68.571,0.038,68.571,0.032,1.008,0.097,28.61,-80.6,9.791,73.549,2.904e-5,12.885,0.005,431.637,37.3,0.014,2.015e-4,19.014,15.272,1.439,0.035,5.729e5,0,0.009,0.597,0.03,0.314,0.163,0.12,9.996,-0.235,5.486e-5,0,0,0,0,0.029,0.001,2.6,34.253,-0.977,0.021,2.178,13.329,983.098,339.376,0.05,0.211
8.675,841.561,-11.653,-2.778,11.697,2.784,68.737,0.038,68.737,0.032,1.015,0.174,28.61,-80.6,9.791,72.845,3.836e-5,11.962,0.007,431.637,37.3,0.014,2.015e-4,18.956,15.272,1.417,0.036,5.804e5,0,0.01,0.597,0.033,0.314,0.163,0.12,10.107,-0.211,-3.734e-4,0,0,0,0,0.024,0.001,2.6,34.253,-1.598,0.021,2.229,13.333,983.166,339.379,0.05,0.211
